PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
656,1,3,"Smith, Mrs. Anna",M,13.5,0,0,PC 414037,1.49,,S
495,0,3,"Moore, Rev. William",male,8.4,0,0,195118,104.53,,Q
154,1,2,"Taylor, Miss. Edith",male,0.2,0,0,A/5 57441,49.23,,C
412,0,3,"Brown, Rev. George",male,34.2,0,0,CA 924108,18.33,F106,S
398,1,2,"Johnson, Mrs. George",male,26.7,0,2,A/5 358604,22.08,E109,S
126,1,1,"Wilson, Col. Alice",F,26.5,1,0,CA 750618,3.38,A65,S
363,1,3,"Smith, Dr. John",F,14.4,1,2,SOTON/OQ 625165,14.91,,C
652,0,2,"Taylor, Mrs. Anna",male,28.5,1,0,923976,48.81,,S
602,1,3,"Jones, Rev. Mary",female,23.6,0,0,173765,102.45,E63,S
548,1,3,"Jones, Dr. Thomas",MALE,40.0,0,0,PC 296352,512.33,,C
887,0,2,"Johnson, Rev. Rose",MALE,24.4,0,0,709230,1.03,E28,S
741,0,1,"Miller, Miss. George",female,17.4,0,2,206443,20.7,B83,S
286,0,3,"Jones, Mr. John",MALE,44.0,1,0,SOTON/OQ 144439,31.53,,S
636,0,1,"Williams, Mr. Emily",male,20.5,0,0,SOTON/OQ 765818,17.81,G66,S
673,1,3,"Moore, Mrs. Edith",male,12.5,0,0,A/5 428735,25.11,E13,C
260,0,1,"Wilson, Dr. George",male,,0,0,CA 115319,3.96,,Q
356,1,1,"Jones, Mr. Alice",F,26.1,1,0,A/5 677650,1.43,,C
874,0,3,"Moore, Miss. George",M,60.0,2,0,CA 481892,30.8,D92,Q
621,0,3,"Jones, Dr. Charles",female,34.0,0,0,PC 672269,6.53,,S
331,1,2,"Johnson, Dr. Emily",Female,24.8,0,0,SOTON/OQ 585557,6.37,,S
49,0,3,"Taylor, Rev. George",F,45.2,0,0,CA 105901,6.56,,S
75,0,2,"Thomas, Rev. Charles",female,32.1,0,0,SOTON/OQ 277189,19.24,,S
702,0,3,"Jones, Col. Mary",Female,,0,0,CA 470084,47.16,F51,S
595,1,1,"Davis, Miss. George",female,,0,0,SOTON/OQ 189536,7.61,,Q
420,0,1,"Davis, Mr. Edith",male,32.9,0,0,PC 972257,4.37,,S
206,0,1,"Thomas, Miss. Anna",male,,0,0,360858,44.82,,S
663,1,3,"Davis, Dr. John",M,56.7,0,0,343010,70.16,,C
165,0,3,"Moore, Col. Anna",MALE,37.6,0,2,CA 842181,4.83,F144,S
628,1,3,"Smith, Mr. Thomas",MALE,56.0,0,0,A/5 849907,12.35,,C
849,1,1,"Smith, Miss. William",F,44.1,0,0,SOTON/OQ 852336,12.27,F146,S
98,1,3,"Miller, Mrs. John",female,5.8,1,0,A/5 818274,4.29,,S
571,1,3,"Davis, Col. William",M,37.3,0,0,A/5 986007,7.81,,S
559,1,1,"Miller, Mrs. William",FEMALE,32.6,0,0,245284,33.48,,Q
335,0,3,"Williams, Dr. Anna",female,22.4,0,0,PC 1485,58.28,,S
128,0,3,"Johnson, Rev. Thomas",F,13.0,0,0,622187,4.77,,S
512,0,3,"Miller, Dr. Anna",male,27.5,1,0,PC 147053,59.23,,S
619,0,2,"Williams, Dr. Charles",M,,0,0,SOTON/OQ 825254,41.83,,Q
675,0,3,"Wilson, Mr. Charles",female,,0,0,SOTON/OQ 715549,16.84,B11,S
81,1,1,"Thomas, Dr. Thomas",FEMALE,48.1,0,0,A/5 174944,1.52,,S
501,0,2,"Thomas, Miss. William",Female,51.4,0,0,PC 185681,13.12,G2,C
545,0,3,"Jones, Mr. Charles",male,7.0,0,0,PC 133947,19.14,,S
813,0,3,"Thomas, Dr. Charles",male,35.2,1,0,PC 290562,59.46,E60,S
581,1,3,"Smith, Col. Emily",MALE,39.2,0,0,CA 587559,14.94,,S
631,0,2,"Smith, Mr. Thomas",Male,6.3,4,0,SOTON/OQ 10319,4.2,,S
492,0,3,"Miller, Miss. George",male,20.5,1,0,PC 529687,0.58,,S
499,1,1,"Thomas, Mr. James",Male,16.5,1,0,CA 659214,50.45,,S
570,1,1,"Wilson, Dr. Mary",M,23.2,0,0,PC 531881,27.52,D7,S
254,0,2,"Johnson, Miss. James",Female,16.7,0,2,PC 595204,10.75,,C
490,0,1,"Williams, Rev. Alice",FEMALE,,1,0,PC 291860,43.46,,S
873,1,3,"Brown, Mrs. Emily",FEMALE,,0,1,869558,25.47,,S
519,1,1,"Moore, Mrs. Charles",male,33.1,0,1,PC 389555,9.28,,S
792,0,3,"Anderson, Miss. Anna",male,39.6,0,0,SOTON/OQ 585928,17.21,,S
800,1,3,"Jones, Col. James",Male,18.8,1,1,CA 543684,4.24,,S
646,1,3,"Smith, Miss. Thomas",MALE,62.6,0,0,950511,30.19,,S
672,0,3,"Brown, Miss. Anna",male,0.2,1,0,CA 92639,1.96,,S
823,1,3,"Brown, Dr. John",female,,0,0,PC 823177,40.94,E24,S
424,0,1,"Johnson, Col. William",Female,,0,0,CA 363678,77.99,,C
411,0,3,"Johnson, Mr. Edith",Male,49.7,0,0,CA 11535,27.49,D85,Q
373,0,2,"Brown, Mrs. Thomas",male,22.2,0,0,SOTON/OQ 748978,0.77,,S
16,1,3,"Johnson, Mr. John",male,45.2,0,0,SOTON/OQ 89324,85.93,E108,S
667,1,2,"Davis, Miss. Anna",MALE,4.7,0,0,PC 247272,47.59,,C
442,1,1,"Miller, Mr. Edith",male,34.8,1,0,PC 666465,11.62,,S
724,1,3,"Wilson, Col. Anna",male,42.7,0,0,CA 472455,12.66,G143,C
776,1,1,"Williams, Rev. George",male,38.9,1,1,580379,42.42,,C
695,0,3,"Brown, Miss. Charles",MALE,42.5,2,3,CA 2562,12.88,,S
464,1,1,"Miller, Mr. Emily",female,40.3,0,4,CA 818065,83.79,,S
625,1,3,"Wilson, Miss. George",Male,39.0,1,0,241134,9.81,,C
148,1,3,"Miller, Rev. Rose",Male,33.7,0,2,CA 976101,91.96,,S
452,0,3,"Johnson, Rev. Rose",Female,15.0,0,0,CA 17487,1.48,,C
290,0,3,"Thomas, Mrs. John",male,5.7,0,0,PC 637436,56.46,,S
591,0,1,"Jones, Miss. James",Female,,1,1,58750,$44.91,A58,C
352,0,3,"Johnson, Mr. Charles",Female,9.1,0,1,287378,108.22,D129,S
465,0,3,"Smith, Col. Alice",FEMALE,32.1,0,0,CA 714780,46.52,,S
139,1,1,"Williams, Miss. William",MALE,42.8,2,0,SOTON/OQ 280139,20.81,,S
55,1,2,"Brown, Col. Mary",Male,42.6,0,0,A/5 673923,28.66,,S
737,0,2,"Taylor, Rev. Mary",F,30.3,0,0,CA 732276,2.3,,S
257,0,3,"Brown, Col. John",male,45.7,0,1,A/5 141359,23.81,,S
53,1,3,"Moore, Mrs. Thomas",M,38.1,0,0,A/5 923948,37.98,,S
61,0,2,"Williams, Mr. Thomas",M,25.0,0,0,SOTON/OQ 906995,27.45,C128,S
271,0,2,"Wilson, Mr. Anna",female,51.7,0,0,661572,14.59,,S
23,0,2,"Brown, Miss. Edith",male,17.9,0,1,894286,30.07,,C
828,0,2,"Jones, Dr. Mary",male,14.9,0,0,101709,21.16,,S
419,0,2,"Miller, Mrs. John",female,20.3,0,0,A/5 453688,20.72,,S
389,0,1,"Smith, Mr. Edith",male,23.5,0,0,A/5 149933,17.86,,S
243,1,3,"Anderson, Col. John",male,11.4,2,0,384429,31.03,,S
325,1,3,"Moore, Col. Edith",male,13.6,0,0,CA 1543,2.0,,C
757,0,2,"Brown, Miss. James",male,29.2,0,2,PC 360411,25.97,,S
245,0,2,"Johnson, Miss. Charles",MALE,,1,0,A/5 3451,8.33,,S
732,1,3,"Williams, Miss. Mary",MALE,,2,0,SOTON/OQ 182756,87.01,E82,S
569,1,1,"Moore, Col. Charles",F,28.9,0,2,SOTON/OQ 788268,116.54,G70,S
844,1,2,"Taylor, Mrs. Emily",male,,0,0,277743,3.36,,S
143,0,3,"Johnson, Dr. Edith",female,47.0,2,1,CA 858110,27.46,,C
51,0,3,"Moore, Dr. Edith",MALE,9.4,2,0,538875,8.42,,C
721,1,2,"Brown, Rev. John",female,,1,2,205412,45.7,D25,
622,1,1,"Thomas, Rev. Alice",male,0.2,0,2,599116,4.22,,Q
586,1,3,"Thomas, Mrs. John",MALE,,0,0,813803,10.63,,Q
565,1,3,"Brown, Mrs. Alice",Male,,0,0,900679,48.53,,S
450,1,3,"Wilson, Mrs. William",female,17.5,0,2,A/5 628540,17.52,,S
82,0,3,"Wilson, Col. James",MALE,22.8,0,0,SOTON/OQ 391365,64.82,A108,S
604,0,3,"Smith, Mrs. Mary",female,0.2,0,1,662882,18.65,,S
337,0,1,"Anderson, Rev. George",male,16.2,2,0,536517,33.59,,S
627,0,3,"Moore, Rev. James",Female,,2,0,SOTON/OQ 457474,39.49,,S
822,1,1,"Smith, Dr. Anna",M,45.2,1,4,CA 817960,11.03,,Q
665,1,1,"Thomas, Dr. Alice",M,33.0,0,1,CA 197085,11.47,,Q
67,0,1,"Taylor, Dr. Emily",male,,0,0,SOTON/OQ 427721,9.2,A25,Q
669,0,3,"Johnson, Dr. Rose",M,,0,0,A/5 119679,25.73,,S
10,0,2,"Taylor, Col. Rose",M,17.2,1,0,PC 70297,73.44,,S
813,0,3,"Thomas, Dr. Charles",male,35.2,1,0,PC 290562,59.46,E60,S
221,1,3,"Williams, Rev. James",Female,46.6,2,0,780068,70.46,,Q
229,0,3,"Williams, Col. Rose",male,9.1,0,0,PC 65286,5.67,,S
664,0,2,"Davis, Col. Edith",M,30.1,4,0,SOTON/OQ 124855,1.35,,Q
436,1,3,"Thomas, Col. Rose",FEMALE,46.1,0,0,SOTON/OQ 740033,18.65,,
709,1,2,"Moore, Col. Charles",Female,26.8,0,1,529675,10.13,,S
114,1,1,"Anderson, Rev. Alice",Male,38.8,0,0,A/5 348034,18.47,C98,S
348,0,3,"Anderson, Mr. William",male,27.3,0,2,PC 148616,7.49,,Q
756,1,3,"Taylor, Miss. Emily",M,7.6,3,0,CA 580860,8.15,,S
857,0,2,"Thomas, Miss. William",male,48.2,0,0,CA 803120,18.8,,S
65,1,3,"Taylor, Rev. Charles",F,45.2,0,0,A/5 313322,58.55,,S
588,1,1,"Brown, Mrs. Charles",F,52.3,4,0,A/5 859383,130.07,,S
717,1,3,"Jones, Dr. Anna",male,22.4,0,0,CA 805149,9.86,G34,S
466,1,3,"Jones, Mrs. Rose",Male,,0,0,SOTON/OQ 721473,75.29,,S
810,0,1,"Taylor, Dr. Mary",male,,0,0,CA 644540,9.8,C119,S
390,0,1,"Brown, Miss. Emily",male,10.4,1,0,SOTON/OQ 100906,29.97,,S
472,0,3,"Anderson, Dr. Emily",female,,1,0,A/5 792168,24.93,,S
21,1,3,"Johnson, Mrs. Thomas",MALE,29.9,0,0,722913,$70.31,,C
775,0,3,"Brown, Miss. Rose",female,44.4,0,1,PC 550823,90.95,A147,S
777,1,2,"Wilson, Rev. Rose",M,13.3,0,0,CA 104532,70.94,,S
601,0,1,"Smith, Rev. George",F,50.6,0,0,SOTON/OQ 908155,15.6,,C
361,1,3,"Jones, Mrs. William",MALE,,0,0,CA 495553,8.23,,S
306,1,3,"Anderson, Mrs. Anna",F,,0,0,PC 737248,$10.31,,C
615,0,3,"Davis, Miss. Mary",M,22.1,1,0,SOTON/OQ 640612,0.41,,S
427,0,1,"Miller, Miss. Edith",MALE,47.0,0,1,A/5 587698,26.37,,S
572,0,2,"Brown, Col. Thomas",Male,44.8,0,0,PC 495126,$109.95,,
707,1,3,"Brown, Miss. James",MALE,14.1,1,0,PC 981689,32.56,,S
597,0,1,"Jones, Col. John",MALE,,0,0,624280,4.86,,C
52,1,2,"Davis, Mrs. Rose",FEMALE,18.2,0,0,SOTON/OQ 677755,4.21,,S
187,1,1,"Williams, Mr. Edith",female,14.2,0,3,PC 597002,52.38,D20,C
593,1,3,"Thomas, Rev. Thomas",Female,17.1,3,1,488531,6.61,F51,S
410,1,2,"Miller, Miss. James",male,33.6,2,0,A/5 232153,20.14,,S
26,0,2,"Johnson, Rev. James",M,32.5,1,0,CA 454613,43.15,,S
693,0,3,"Brown, Miss. Mary",MALE,21.7,1,0,A/5 193391,18.72,,S
504,1,3,"Miller, Mrs. Edith",female,,0,0,PC 479411,16.64,,S
734,0,1,"Thomas, Miss. Charles",Male,44.8,2,0,510740,6.14,A86,S
752,1,3,"Miller, Col. Edith",male,34.1,0,0,CA 317253,46.9,,S
189,0,3,"Miller, Mrs. George",FEMALE,,0,0,SOTON/OQ 812471,33.34,,S
542,1,2,"Moore, Miss. Charles",male,,0,0,CA 215052,61.09,A136,
252,0,3,"Moore, Miss. John",female,42.2,1,2,PC 706753,14.63,E78,S
726,0,3,"Brown, Dr. Rose",MALE,43.7,0,0,SOTON/OQ 987908,75.65,,C
842,1,3,"Smith, Mr. George",female,15.6,3,0,968255,25.05,,C
539,1,3,"Brown, Mrs. Thomas",male,14.6,0,0,A/5 528965,27.22,,S
324,1,2,"Smith, Mr. James",male,8.8,0,0,919092,86.64,,C
701,1,3,"Miller, Mrs. Edith",Male,22.9,0,0,A/5 282183,16.67,,Q
566,0,1,"Davis, Col. Anna",male,34.2,0,0,CA 792747,8.9,,S
847,1,3,"Taylor, Col. Edith",male,62.5,0,0,PC 751517,24.84,,S
535,1,2,"Johnson, Rev. Rose",male,44.2,3,0,CA 37386,5.69,,
771,1,3,"Miller, Rev. John",M,63.6,1,1,SOTON/OQ 649294,37.22,,Q
740,0,3,"Johnson, Mr. Anna",male,4.9,2,2,391984,0.34,,S
541,0,2,"Taylor, Dr. William",male,31.2,0,0,SOTON/OQ 689279,83.1,,C
617,0,3,"Taylor, Miss. James",Male,17.2,0,0,PC 260277,109.21,,Q
455,0,2,"Thomas, Mrs. Rose",MALE,44.9,0,0,A/5 60204,10.98,D28,S
859,1,3,"Williams, Rev. Thomas",Female,51.0,0,0,PC 171124,6.22,,C
620,1,2,"Williams, Mr. Emily",F,17.0,0,0,CA 88944,13.25,,S
644,0,2,"Smith, Mr. Charles",female,38.8,0,1,237955,11.31,,
219,1,3,"Miller, Dr. James",M,30.3,1,0,PC 523909,6.97,,S
240,1,2,"Davis, Mr. Anna",male,28.7,0,2,A/5 955368,35.92,,S
612,0,1,"Moore, Col. William",MALE,53.9,0,0,944737,$31.30,,C
447,0,2,"Davis, Miss. George",MALE,16.4,1,0,SOTON/OQ 787273,27.81,,
193,0,3,"Moore, Col. Mary",Male,17.7,5,3,819364,39.99,,C
192,1,3,"Brown, Rev. Edith",Male,,0,2,PC 810948,12.8,E88,S
298,1,1,"Moore, Dr. George",MALE,,0,0,A/5 251380,61.79,,S
317,1,2,"Jones, Miss. George",female,1.9,0,2,CA 410489,115.26,,S
133,0,3,"Williams, Col. Alice",Male,38.3,0,0,993217,11.26,,Q
297,0,3,"Wilson, Col. John",Male,40.7,0,0,A/5 119884,0.43,,S
253,0,3,"Miller, Miss. Emily",Female,47.2,0,0,PC 99973,7.86,,S
611,0,3,"Thomas, Mrs. Rose",M,30.4,2,0,A/5 849080,7.41,,S
264,1,3,"Moore, Col. Emily",female,33.0,0,0,237438,12.46,G37,S
71,1,1,"Brown, Mrs. Alice",female,50.0,0,1,SOTON/OQ 838657,12.22,,Q
273,0,3,"Jones, Col. Rose",M,21.9,0,0,SOTON/OQ 926237,61.14,D117,S
423,1,1,"Moore, Rev. Rose",male,8.7,0,0,SOTON/OQ 649046,55.96,,S
116,0,1,"Anderson, Mr. Mary",female,34.0,0,0,A/5 381595,8.46,,S
295,0,2,"Jones, Col. Mary",M,,1,0,SOTON/OQ 243387,34.63,C141,S
564,0,3,"Smith, Col. Charles",MALE,41.3,1,0,PC 166315,2.88,A4,S
883,0,3,"Anderson, Col. Anna",Male,21.7,0,0,PC 53479,80.97,,C
485,1,2,"Johnson, Mrs. John",male,,0,0,A/5 242726,41.09,,C
509,0,3,"Taylor, Col. James",Female,,0,0,191941,17.49,,S
279,1,2,"Taylor, Col. John",F,24.5,0,0,PC 595645,30.29,,S
3,1,3,"Moore, Mrs. William",female,26.6,0,0,CA 635639,24.46,,S
230,0,3,"Brown, Rev. William",F,,1,0,A/5 46035,2.43,,S
826,1,3,"Taylor, Col. John",MALE,,0,1,666433,15.65,G107,C
372,0,2,"Miller, Col. Alice",Male,,1,0,A/5 228630,32.68,E126,S
782,1,2,"Brown, Mr. John",MALE,9.7,2,0,680164,12.73,E130,S
200,0,3,"Jones, Mr. Mary",male,43.8,0,0,PC 516367,28.27,,C
500,0,1,"Brown, Col. John",Female,,0,2,PC 325332,18.07,,C
432,0,1,"Jones, Mrs. Mary",MALE,28.6,0,0,PC 114200,5.79,,C
66,0,3,"Moore, Dr. George",male,,0,1,A/5 306977,58.79,,S
460,1,3,"Taylor, Miss. Edith",female,45.1,1,0,SOTON/OQ 356418,40.77,,Q
676,0,1,"Taylor, Dr. Charles",Male,,0,0,640577,62.28,E29,S
848,1,3,"Moore, Col. William",FEMALE,,1,0,59564,10.02,,S
769,1,3,"Wilson, Col. Emily",MALE,38.4,0,0,CA 6359,67.87,,S
642,1,3,"Thomas, Col. Mary",Male,,0,1,SOTON/OQ 955825,158.45,,S
687,0,3,"Miller, Dr. Mary",MALE,26.2,0,0,PC 329376,34.86,,C
274,1,3,"Brown, Mr. Charles",male,6.6,1,0,7370,2.19,,S
889,1,3,"Wilson, Rev. Mary",female,24.4,1,0,SOTON/OQ 358005,2.64,,S
400,1,3,"Wilson, Col. Anna",female,50.6,0,0,780950,33.79,,S
690,0,1,"Thomas, Mr. John",MALE,35.2,0,0,PC 723354,10.14,,S
178,0,2,"Anderson, Mr. Rose",male,20.2,0,0,A/5 802162,7.99,F26,S
301,1,3,"Williams, Dr. James",male,0.2,1,0,181777,28.88,C22,S
38,1,3,"Brown, Dr. Emily",Male,0.7,0,1,SOTON/OQ 161575,20.65,E16,Q
203,0,1,"Williams, Col. Anna",Male,,0,0,A/5 702518,13.9,,C
237,1,2,"Smith, Col. Anna",male,22.7,0,0,A/5 895129,19.08,,S
150,0,3,"Johnson, Col. Edith",male,40.2,0,0,SOTON/OQ 2732,50.53,,S
